,Sentences_from,Sentences_to,Translated_sentences,BLEU
0,"Plastrem miodu opływają wargi twoje, oblubienico moja! miód i mleko pod językiem twoim, a wonność szat twoich, jako wonność Libanu.","Your lips, my bride, drip like the honeycomb. Honey and milk are under your tongue. The smell of your garments is like the smell of Lebanon.","Honeycomb circumnavigates your lips, my bride! honey and milk under your tongue, and the unfulness of your robes, as the wonity of Lebanon.",0.203
1,"I stałem się jako człowiek, który nic nie słyszy, i niema odporu w ustach swoich.","For in you, Yahweh, do I hope. You will answer, Lord my God.","And I have become as a man who hears nothing, and has no immunity in his mouth.",0.0
2,O nieprzyjacielu! azaż wykonane są spustoszenia twoie na wieczność? Poburzyłżeś miasta? i owszem ich samych pamiątka zginęła z niemi.,But Yahweh reigns forever. He has prepared his throne for judgment.,"Oh, the enemy! Avoc are made ravages yours for eternity? Do you get the cities? And their same souvenir died with me.",0.0
3,"A odpowiadając Dawid rzekł: Oto włócznia królewska; niech sam przyjdzie kto z sług, a weźmie ją.","God do so to the enemies of David, and more also, if I leave of all that belongs to him by the morning light so much as one who urinates on a wall. ""","And answering David said, Behold the king's spear; let himself come whoever of the servants, and take it.",0.0
4,"Potem ty, synu człowieczy! weźmij sobie nóż ostry, to jest brzytwę barwierską, weźmij ją sobie, a ogól nią głowę swoję i brodę swoję; potem weźmij sobie wagę, i rozdziel je.","You, son of man, take a sharp sword; You shall take it as a barber's razor to you, and shall cause it to pass on your head and on your beard: then take balances to weigh, and divide the hair.","Then you, son man! Take yourself a sharp knife, it is a barrow razor, take it yourself, and shave it your head and your beard; then take your weight, and break it apart.",0.125
5,Zachodnią zaś granicę będziecie mieli morze wielkie; to wam będzie granicą od zachodu.,"They traveled from Succoth, and encamped in Etham, which is in the edge of the wilderness.",And the western border you will have a great sea; it will be for you to be the border from the west.,0.0
6,"Wystaw sobie pamiątki; nakładź sobie gromad kamieni; pamiętaj na ten gościniec, i na drogę, którąś chodziła: nawróć się, panno Izraelska! nawróć się do tych miast swoich.","Set up road signs, make guideposts; set your heart toward the highway, even the way by which you went: turn again, virgin of Israel, turn again to these your cities.","Exhibit your souvenirs; put a cluster of stones; remember on this visitor, and on the road you walked: convert, Miss Israel! convert to these cities of your own.",0.0
7,"Widząc tedy synowie Ammonowi, że się zbrzydzili Dawidowi posłali ciż synowie Ammonowi, i najęli za pieniądze Syryjczyka z domu Rechob, i Syryjczyka w Soba, dwadzieścia tysięcy pieszych, a od króla Maacha tysiąc mężów, a od Istoba dwanaście tysięcy mężów.","When the children of Ammon saw that they were become odious to David, the children of Ammon sent and hired the Syrians of Beth Rehob, and the Syrians of Zobah, twenty thousand footmen, and the king of Maacah with one thousand men, and the men of Tob twelve thousand men.","Seeing then, the sons of Ammon, that they had abused David were sent by the sons of Ammon, and they had taken a Syrian from the house of Rechob, and a Syrian in Soba, twenty thousand pedestrians, and from King Maach a thousand husbands, and from Istob twelve thousand husbands.",0.0
8,"A wychodzili i przywodzili z Egiptu cug woźników za sześć set srebrników, a konia za sto i za pięćdziesiąt. A tak wszyscy królowie Hetejscy, i królowie Syryjscy z rąk ich koni dostawali.","They brought up and brought out of Egypt a chariot for six hundred pieces of silver, and a horse for one hundred fifty: and so for all the kings of the Hittites, and the kings of Syria, they brought them out by their means.","And they would go out and bring from Egypt cug carvers for six hundred silvers, and a horse for a hundred and fifty. And so all the Hetean kings, and the Syrian kings at the hands of their horses got.",0.129
9,Utwierdzona jest stolica twoja przed wszystkiemi czasy; tyś jest od wieczności.,Your throne is established from long ago. You are from everlasting.,Your capital is established before all times; thou have been for eternity.,0.0
10,"Nadto rzekli do niego: Cóż z tobą uczynimy, aby się morze uspokoiło? Bo się morze im dalej tem bardziej burzyło.","Then they said to him, ""What shall we do to you, that the sea may be calm to us?"" For the sea grew more and more stormy.","They said unto him, What shall we do with you to make the sea calm down? 'Cause the sea was further down there.",0.193
11,"Wspomnij, Panie! na zelżywość sług twoich, a jakom ponosił wzgardę w zanadrzu swem od wszystkich narodów możnych.","With which your enemies have mocked, Yahweh, with which they have mocked the footsteps of your anointed one.","Mention, Lord! to the resiliency of your servants, and how to bear a disdain in his own right from all nations possible.",0.0
12,Synów Adynowych sześć set pięćdziesiąt i pięć;,"The children of Adin, six hundred fifty-five.",Sons of Adynovae six hundred fifty and five;,0.0
13,"I wysłał je Mojżesz po tysiącu z każdego pokolenia na wojnę; posłał też z nimi Fineesa, syna Eleazara kapłana, na wojnę, a naczynia święte, i trąby do trąbienia były w ręku jego.","""If she has a husband, while her vows are on her, or the rash utterance of her lips, with which she has bound her soul,","And Moses sent them one thousand from each generation to war; he sent with them Phinees, son of Eleazar the priest, to war, and holy vessels, and trumpets for honking were in his hand.",0.0
14,"Powiedz synom Izraelskim, a rzecz do nich: Gdy wnijdziecie do ziemi, do której Ja was wprowadzę:","""Speak to the children of Israel, and tell them, 'When you come into the land where I bring you,","Tell the sons of Israel, and the thing unto them: When you come into the land to which I will bring you:",0.375
15,"Pan Jeruzalem buduje, a rozproszonego Izraela zgromadza.",Yahweh builds up Jerusalem. He gathers together the outcasts of Israel.,"Mr. Jerusalem builds, and a scattered Israel assembles.",0.0
16,"A gdy zstąpili z góry do miasta, rozmawiał z Saulem na dachu.","When they had come down from the high place into the city, he talked with Saul on the housetop.","And as they descended from the mountain into town, he spoke to Saul on the roof.",0.0
17,"I powiedział mu lud oneż słowa, mówiąc: To dadzą mężowi, który go zabije.","The people answered him in this way, saying, ""So shall it be done to the man who kills him.""","And he told him the people the words, saying: They will give the husband who will kill him.",0.0
