,Sentences_from,Sentences_to,Translated_sentences,BLEU
0,"Zęby są za duże na jamnika, za małe na wyżła.","The dog's jaw, as shown in the space between these marks, is too broad in my opinion for a terrier and not broad enough for a mastiff.","The teeth are too big for the dachshund, too small for the upper.",0.0
1,Zostawiłem więc sir Henryka w domu i pojechałem na zwiady.,"I left Sir Henry behind, therefore, not without some prickings of conscience, and drove off upon my new quest.",So I left Sir Henry at home and went to reconnaissance.,0.134
2,"Jeżeli mają złe względem pana zamiary, mogą je wykonać, zanim zdołamy temu zapobiedz.","If their intentions are evil they might do you a mischief, and we should be powerless to prevent it.","If they have bad intentions for you, they can execute them before we can prevent it.",0.0
3,"Zbiegliśmy z pagórka, goniąc uciekającego co tchu Seldona.",At the same moment by a lucky chance the moon broke through the clouds.,"We ran off the knoll, chasing the fleeing Seldon.",0.0
4,"-- Nie dziw, że znam pańskie stosunki ze słynnym detektywem -- rzekł pan Stapleton. -- Wszak wiadomo powszechnie, iż jesteście w przyjaźni ze sobą.","""It is useless for us to pretend that we do not know you, Dr. Watson,"" said he. ""The records of your detective have reached us here, and you could not celebrate him without being known yourself.","“No surprise that I know your relationship with the famous detective,” Mr. Stapleton said. “After all, it is known that you are in friendship with each other.",0.0
5,"Zagasłe oczy świeciły jeszcze, zakrwawiony pysk ział ogniem.","Even now, in the stillness of death, the huge jaws seemed to be dripping with a bluish flame and the small, deep-set, cruel eyes were ringed with fire.","The lost eyes were still glowing, the bloodied snout was fire.",0.0
6,"Zacny starzec, zwiedziony pozorami, polubił Stapletona i za jego pośrednictwem świadczył dużo dobrego, między innymi pani Laurze Lyons.","His plans were suddenly brought to a head by his knowledge that Sir Charles was about to leave the Hall on the advice of Dr. Mortimer, with whose opinion he himself pretended to coincide. He must act at once, or his victim might get beyond his power.","An embattled old man, surprised by appearances, took a liking to Stapleton and, through him, witnessed much good, among others, Mrs. Laura Lyons.",0.0
7,"Wiesz, że mam sen lekki, a od chwili, gdym tu przybył w charakterze anioła-stróża, sypiam z otwartemi oczyma, jak zając.","You are aware that I am not a very sound sleeper, and since I have been on guard in this house my slumbers have been lighter than ever.","You know I have a light dream, and from the moment I came here as a guardian angel, I sleep with open eyes, like a hare.",0.0
8,"Sir Henryk był bardziej rad, niż zdziwiony widokiem Holmesa; spodziewał się bowiem, że ostatnie wypadki skłonią go do przybycia.","Sir Henry was more pleased than surprised to see Sherlock Holmes, for he had for some days been expecting that recent events would bring him down from London.",Sir Henry was more advice than puzzled by the sight of Holmes; for he expected the latest accidents to prompt him to arrive.,0.132
9,"Niezrażeni tem, postanowiliśmy próbę ponowić. Następnej nocy zgasiliśmy lampkę, i zapaliwszy papierosy, czekaliśmy, co będzie dalej.","It was incredible how slowly the hours crawled by, and yet we were helped through it by the same sort of patient interest which the hunter must feel as he watches the trap into which he hopes the game may wander.","Unalienated by this, we decided to try again. The next night we put out the light, and having lit the cigarettes, we waited for what to happen next.",0.0
10,"Obiecywałem sobie, że znajdę nieznajomego i że musi mi wyznać, dlaczego tu przebywa.","We'll teach these magnates that they cannot ride roughshod over the rights of the commoners, confound them!",I promised myself that I would find a stranger and that he had to confess to me why he was staying here.,0.0
11,"-- Jest trzecie wejście przez altanę, na drugim końcu alei.","""There is an exit through a summer-house at the far end.""","— There is a third entrance through the gazebo, at the other end of the avenue.",0.0
12,Sprawa powikłała się przez ucieczkę więźnia Seldona i jego porozumienie się z Barrymorami.,I was able to establish the identity of the man and the woman and knew at last exactly how I stood.,The case was complicated by the escape of the prisoner Seldon and his agreement with the Barrymoras.,0.0
13,"Chciałbym już, żeby nowa służba zwolniła mnie z dozoru nad pałacem.","What does it mean? It means no good to anyone of the name of Baskerville, and very glad I shall be to be quit of it all on the day that Sir Henry's new servants are ready to take over the Hall.""",I already wish the new service would exempt me from the surveillance of the palace.,0.0
14,"-- Czy pan sądzi, że kobieta może bezkarnie odwiedzać mężczyznę bezżennego o takiej godzinie?","""Do you think a woman could go alone at that hour to a bachelor's house?""",- Do you think a woman can visit a man with impunity at such an hour?,0.277
15,"Nie mówię teraz jako lekarz, lecz jako wykonawca testamentu sir Karola.","I speak not as a medical man but as a trustee and executor of Sir Charles's will.""","I am not speaking as a doctor now, but as executor of Sir Charles's will.",0.289
16,"Widywaliśmy go często, i jego śmierć była dla nas ciosem.","We knew him well, and miss him more than I can tell.","We saw him often, and his death was a blow to us.",0.0
17,"-- Zapytaj na stacyi, czy niema listu do mnie.","""And ask at the station office if there is a message for me.""",- Ask on stacya if there's no letter to me.,0.0
18,"Gdym zobaczył po raz pierwszy blask od soczewki, nie mogłem zmiarkować, co to takiego.","I could not make it out when first I saw the light flashing upon the lens.""","Gfym saw the glow from the lens for the first time, I couldn't change what it was.",0.0
19,"Skoro pałac zostanie urządzony, brak w nim będzie tylko -- pięknej pani domu.","The baronet has been in communication with the architect who prepared the plans for Sir Charles, and with a contractor from London, so that we may expect great changes to begin here soon. There have been decorators and furnishers up from Plymouth, and it is evident that our friend has large ideas, and means to spare no pains or expense to restore the grandeur of his family.","Since the palace will be decorated, there will only be a beautiful lady of the house.",0.0
20,"Byłem w trudnem położeniu, a gdym tak stał zafrasowany, mój towarzysz odwrócił się i poszedł przez łąkę. Czyniłem sobie wyrzuty, że go pozostawiam własnemu losowi.",It put me in a most awkward position.,"I was in a difficult position, and the gdym was so afrased, my companion turned and walked across the meadow. I was reproach to leave it to my own fate.",0.0
21,"-- Widać z niego, że ktoś śledzi łąkę i przyległe do niej pustkowia i trzęsawiska -- rzekł doktor Mortimer.","""It seems to show that someone knows more than we do about what goes on upon the moor,"" said Dr. Mortimer.","“You can see from him that someone is tracing the meadow and the adjoining wasteland and shaking,” said Dr. Mortimer.",0.0
22,Wbiegliśmy do pokoju z pistoletami w garści.,"Pistol in hand, we all three rushed into the room.",We ran into the room with guns in a bunch.,0.0
23,-- „Dr. Watson pojechał do Coombe-Tracey”.,Dr. Watson has gone to Coombe Tracey.,— “Dr. Watson went to Coombe-Tracey.”,0.0
24,"Tylko dwa okna były oświecone. Wtem światło zgasło w kuchni; pozostało tylko w pokoju jadalnym, w którym morderca i jego ofiara siedzieli przy kieliszkach i cygarach.","Already the first thin wisps of it were curling across the golden square of the lighted window. The farther wall of the orchard was already invisible, and the trees were standing out of a swirl of white vapour.",Only two windows were enlightened. Then the light went out in the kitchen; only remained in the dining room where the murderer and his victim sat by glasses and cigars.,0.0
25,"-- Dziwisz się pan zapewne, że rozpięliśmy tutaj namioty? -- rzekł Stapleton, jakby w odpowiedzi namoje myśli. -- A jednak dobrze nam i czujemy się szczęśliwi. Prawda, Beryl?","""Queer spot to choose, is it not?"" said he as if in answer to my thought. ""And yet we manage to make ourselves fairly happy, do we not, Beryl?""","- Are you surprised we've unbuttoned our tents here? “Stapleton said, as if in response soaked thoughts. “And yet we are good and we feel happy. Right, Beryl?",0.0
26,"To też nie pojmuję, dlaczego odrzuca jego zabiegi, nie pytając nawet, czy siostra jest mu przychylna, a dziwi mnie nadto, że ona słucha go ślepo. Nasze domysły na ten temat przerwał sam Stapleton, który przybył po południu, aby przeprosić baroneta za swoją porywczość.","""I don't say now that he isn't a crazy man,"" said Sir Henry; ""I can't forget the look in his eyes when he ran at me this morning, but I must allow that no man could make a more handsome apology than he has done.""","I also don't understand why he rejects his treatments without even asking if his sister is in favor of him, and I'm surprised that she listens to him blindly. Our guesses on the subject were interrupted by Stapleton himself, who arrived in the afternoon to apologise to the baronet for his impetuosity.",0.0
27,"-- Proszę cię, zakradnij się pod te okna i zobacz, co oni tam robią, ale na miłość Boską, ostrożnie, żeby nie zmiarkowali, że są śledzeni.","""The blinds are up. You know the lie of the land best. Creep forward quietly and see what they are doing--but for heaven's sake don't let them know that they are watched!""","- Please, sneak under those windows and see what they're doing there, but for God's sake, carefully so they don't squeeze that they're being followed.",0.0
28,"On nie winien. Robił to dla mnie, bo go o to prosiłam.","He has done nothing except for my sake and because I asked him.""",He doesn't blame. He was doing it for me because I asked him to do it.,0.17
29,"Tym sposobem, korzystając z legendy, ów łotr wystraszył na śmierć sir Karola.",This paste in the tin is no doubt the luminous mixture with which the creature was daubed.,"By this way, using the legend, this miscreant scared Sir Charles to death.",0.0
30,-- I ja także -- wtrącił sir Baskerville.,"""And so did I,"" said Baskerville. ""Every inch of it.""",- And so am I. - interfered Sir Baskerville.,0.0
31,"Zresztą ta skrytość płynie może i z ostrożności, która nie pozwala mu wypowiadać się przed nikim.","My nerves thrilled with anticipation when at last the cold wind upon our faces and the dark, void spaces on either side of the narrow road told me that we were back upon the moor once again.","Anyway, this secretness flows, and out of caution, which does not allow him to speak before anyone.",0.0
32,Jego następne słowa zdjęły mi kamień z serca.,But his next remark took a weight from my mind.,His next words took a stone off my heart.,0.0
33,Przedstawiciel pierwszorzędnego rodu jest trapiony przez łotra i wyzyskiwacza.,"At the present instant one of the most revered names in England is being besmirched by a blackmailer, and only I can stop a disastrous scandal.",The representative of the first-class lineage is afflicted by a rogue and an exploiter.,0.0
34,"-- To Seldon, więzień, który zbiegł z Princetown.","""It is Selden, the man who escaped from Princetown.""","This is Seldon, the prisoner who fugged from Princetown.",0.0
35,Obaj z sir Henrykiem zerwaliśmy się na równe nogi.,"It's about poor Sir Charles's death.""",Sir Henry and I both broke off to level legs.,0.0
36,"Słuchaj, Watson: żyjesz już ze mną parę tygodni, powiedz mi szczerze, czyś nie spostrzegł we mnie jakiego umysłowego zboczenia?","What's the matter with me, anyhow? You've lived near me for some weeks, Watson.","Listen, Watson, you've been living with me for a couple of weeks, tell me honestly, someone hasn't seen what mental pervert in me?",0.0
37,"Gdym schodził z wózka, spostrzegłem, że patrzy po przez moje ramię ze strachem w oczach.","I had descended from my gig and was standing in front of him, when I saw his eyes fix themselves over my shoulder, and stare past me with an expression of the most dreadful horror.","Gym was coming off the cart, I saw him looking over my shoulder with fear in his eyes.",0.0
38,"A nuż go spotka nieszczęście!... Na samą myśl o tem, krew uderzyła mi do głowy.","I was at a loss what to say or what to do, and before I had made up my mind he picked up his cane and was gone.","And the tedium will befall him unhappiness!... At the very thought of it, blood hit my head.",0.0
39,-- Dlaczego mnie pan pyta? -- rzekła ostro.,"""What is the object of these questions?"" she asked sharply.",Why are you asking me? - she said harshly.,0.0
40,-- Tak; jest jeszcze u nas.,"""Yes, sir, he is still with us.""","- Yes, he's still with us.",0.0
41,Dał mi do ręki nowy atut. Myślę go użyć.,"This was my conversation with Barrymore just now, which gives me one more strong card which I can play in due time.",He gave me a new asset. I think use it.,0.0
42,"Chodzi mi o fakt zagadkowy, który zdarzył się niedawno; muszę rozstrzygnąć zagadkę, w ciągu dwudziestu czterech godzin.","A most practical, pressing matter, which must be decided within twenty-four hours.","I mean a puzzling fact that happened recently; I have to settle the puzzle, within twenty-four hours.",0.0
43,"Wskoczył na krzesło, i trzymając świecę w lewej ręce, prawą osłonił szeroki kapelusz i włosy.","He stood upon a chair, and, holding up the light in his left hand, he curved his right arm over the broad hat and round the long ringlets.","He jumped into a chair, and holding a candle in his left hand, with his right he sheathed a wide hat and hair.",0.207
44,"Czyś pan jej zawiłości rozplątał? My z Watsonem tyle wiemy dziś, co na początku.","I don't know that Watson and I are much the wiser since we came down.""",Have you untangled her intricacies? We and Watson know as much today as we did at the beginning.,0.0
45,"Od pierwszego rzutu oka spostrzegłem, że jest niezwykłą: zdradza zdolności, rzekłbym nawet -- geniusz dedukcyjny.",I had hardly expected so dolichocephalic a skull or such well-marked supra-orbital development. Would you have any objection to my running my finger along your parietal fissure?,"From the first look I saw that she was extraordinary: she betrays abilities, I would say even — deductive genius.",0.0
46,"Tym wszystkim sąsiadom musisz przyglądać się bacznie, aby poznać dokładnie ich charakter, ich cele, upodobania i t. d.","There is Mr. Frankland, of Lafter Hall, who is also an unknown factor, and there are one or two other neighbours. These are the folk who must be your very special study.""","To all these neighbors, you need to look closely at each other to know exactly their character, their goals, tastes and t. d.",0.0
47,Szliśmy powoli przez Regent Street. Doktor Mortimer i jego towarzysz oddawna już zniknęli nam z oczu.,"We had been sauntering slowly down Regent Street during this conversation, and Dr. Mortimer, with his companion, had long vanished in front of us.",We walked slowly through Regent Street. Dr. Mortimer and his companion are already out of our sight.,0.0
48,"-- Tak, na własne oczy; tak wyraźnie, jak teraz widzę pana.","""As clearly as I see you.""","- Yes, with my own eyes; as clearly as I see you now.",0.368
49,"-- Warunki zmieniły się. My dwoje wystarczaliśmy sir Karolowi, ale jaśnie pan zechce zapewne żyć dworniej, przyjmować gości i będzie potrzebował więcej służby.","""I only meant, sir, that Sir Charles led a very retired life, and we were able to look after his wants. You would, naturally, wish to have more company, and so you will need changes in your household.""","— Conditions have changed. The two of us have been good enough for Sir Charles, but you clearly want to live more courtly, receive guests, and will need more service.",0.0
50,"Byłem zachwycony jej urodą, lecz przyjrzawszy się bliżej, dostrzegłem ostry wyraz ust i oczu, psujący ogólną harmonię.","But the second was criticism. There was something subtly wrong with the face, some coarseness of expression, some hardness, perhaps, of eye, some looseness of lip which marred its perfect beauty.","I was delighted with her beauty, but, having looked closely, I saw a sharp expression of the lips and eyes, spoiling the general harmony.",0.0
51,"Dotarłem do skały Black-Tor, na której szczycie stał wówczas nieznajomy. Z jej wyżyn spojrzałem na szarą równinę.","Rain squalls drifted across their russet face, and the heavy, slate-coloured clouds hung low over the landscape, trailing in gray wreaths down the sides of the fantastic hills.","I reached the rock of Black-Tor, on whose summit was standing by a stranger at the time. From her heights, I looked across the gray plain.",0.0
52,"Owego wieczora, przed przybyciem sir Henryka na obiad, wśród małżonków wynikła sprzeczka. Beryl nazwała męża zbrodniarzem; rozwścieczony, chcąc ją dotknąć boleśnie, oznajmił jej, że kocha inną.","Her fidelity turned in an instant to bitter hatred and he saw that she would betray him. He tied her up, therefore, that she might have no chance of warning Sir Henry, and he hoped, no doubt, that when the whole country-side put down the baronet's death to the curse of his family, as they certainly would do, he could win his wife back to accept an accomplished fact and to keep silent upon what she knew.","On that evening, before Sir Henry arrived for dinner, an altercation ensued among the spouses. Beryl called her husband a criminal; enraged, wanting to touch her painfully, he would declare to her that he loved another.",0.0
53,"-- Spodziewam się, że i panowie pójdziecie ze mną.","""I hope that you will come also.",- I expect you and gentlemen will come with me.,0.0
54,"Pan sądzi, że ten chłopak jest pastuchem?",It is the stoniest part of the whole moor.,Do you think this boy is a pastor?,0.0
55,Jaśnie pan znajdzie wodę ciepłą w swojej ubieralni.,You will find hot water in your rooms.,The master will find water warm in your dressing room.,0.0
56,Stary baronet nie wychodził nigdy za obręb pałacu po zachodzie słońca.,"""But it was some time coming. The old gentleman could not be decoyed outside of his grounds at night.",The old baronet never left behind the palace after sunset.,0.0
57,"Chciałem się przysłużyć Papieżowi i straciłem z oczu to, co się jednocześnie działo w Anglii. Ten artykuł, powiadasz pan, zawiera fakty, znane powszechnie?","This article, you say, contains all the public facts?""","I wanted to serve the Pope, and I lost sight of what was happening in England at the same time. This article, you say, contains facts, known commonly?",0.059
58,To też cały dzień spędziłem w klubie i dopiero około dziewiątej powróciłem do mieszkania przy Bakerstreet.,I therefore spent the day at my club and did not return to Baker Street until evening. It was nearly nine o'clock when I found myself in the sitting-room once more.,That's also the whole day I spent at the club and it wasn't until about 9 o'clock that I returned to the flat on Bakerstreet,0.0
59,"Nie pojechałam, bo mi coś przeszkodziło.","Something intervened to prevent my going.""",I didn't go because I got in the way of something.,0.0
60,"-- Kto wiedział, że pan zatrzyma się w Northumberland Hotel? -- spytał Holmes, spoglądając bystro na swego klienta.","""Who knew that you were going to the Northumberland Hotel?"" asked Holmes, glancing keenly across at our visitor.","Who knew you were staying at the Northumberland Hotel? - Holmes asked, looking astutely at his client.",0.0
61,"Zostawiliśmy sir Henryka i podążyliśmy ku domowi Stapletona. -- Słyszał wystrzały i domyślił się, że jego „sztuka” wyszła na jaw.","""It's a thousand to one against our finding him at the house,"" he continued as we retraced our steps swiftly down the path.",We left Sir Henry and followed towards Stapleton's house. — He heard gunshots and guessed that his “art” had come to light.,0.0
62,"„Towarzysze hulanki rzucili się do koni, chwycili pistolety i pognali za swoim amfitryonem, a było ich razem trzynastu.","""Now, for some space the revellers stood agape, unable to understand all that had been done in such haste.","“The companions of the sculanca rushed to the horses, grabbed their pistols and ran after their amphiryon, and there were thirteen of them together.",0.0
