,Sentences_from,Sentences_to,Translated_sentences,BLEU
0,Edytor i wprowadzanie danych eksploracji jaskiń dla programu Survex,Enter cave survey data for Survex,Editor and enter cave mining data for Survex,0.0
1,Znajdź i połącz z serwerami gry,Locate and connect to game servers,Find and connect to game servers,0.76
2,"Program dla graczy, umożliwiający szybką i wysokiej jakości komunikację","A low-latency, high quality voice chat program for gaming","Program for players, enabling fast and high-quality communication",0.0
3,"Powszechnie używane programy z ograniczonymi dla Kubuntu prawami własnościowymi (mp3, avi, mpeg, TrueType, Java, Flash)","Commonly used applications with restricted copyright for kubuntu (mp3, avi, mpeg, TrueType, Java, Flash)","Commonly used programs with limited proprietary rights for Kubuntu (mp3, avi, mpeg, TrueType, Java, Flash)",0.536
4,"Graficzna administracja kluczami cyfrowymi, używanymi przez APT",Graphical administration tool for digital keys used with APT,Graphic administration of digital keys used by APT,0.0
5,%s: Napotkano błędy podczas przetwarzania. Proces przerwano.,%s: Errors found during postprocessing. Aborting.,%s: Errors were encountered during processing. The process was aborted.,0.0
6,Zebrane informacje są wysyłane do systemu śledzenia błędów. To może potrwać kilka minut.,The collected information is being sent to the bug tracking system. This might take a few minutes.,The collected information is sent to an error tracking system. It could take a few minutes.,0.341
7,Wysyła pliki RAW do zewnętrznego edytora za pomocą linii poleceń,Send RAW files to external editor on command line,Sends RAW files to an external editor using the command line,0.0
8,"Parametry strumienia to %iHz, %s, %i kanał/ów","Stream parameters are %iHz, %s, %i channels","Stream parameters it%iHz, %s, %and channels/",0.0
9,Interfejs graficzny do oszukiwania w grze Scanmen,A game hacking tool. A GUI front-end for scanmem.,Graphic interface for cheating in Scanmen,0.0
10,Aplet panelu do odnawiania list autoryzacji,Panel Applet to renew authentication credentials,Panel Applet for renewing authorization lists,0.0
11,Narzędzie do eksploracji sieci i skanowania portów,Explore the network and scan ports,Network Exploration and Port Scanning Tool,0.0
12,"Podrzucaj klaunów i rozbijaj nimi balony tak, aby nie spadli na ziemię",Throw the clowns before they fall and hit the balloons with them,Drop off clowns and smash balloons with them so they don't fall to the ground,0.0
13,Symulator podniebnych walk za sterami wojskowego myśliwca,Fly military aircraft in a combat situation,Simulator of the palatable fighting behind the controls of a military fighter jet,0.0
14,Twoja misja: wygrać z obcymi. Trójwymiarowa gra wojenna,Mission and Objective based 3D Action Game,Your mission: to win against aliens. Three-dimensional wargame,0.0
15,Pozwól komputerowi przeczytać dla Ciebie tekst,Let the computer read out text for you,Let your computer read text for you,0.0
16,"Program do edycji obrazów, oparty o VIPS",Image manipulation program based on VIPS,Image editing program based on VIPS,0.537
