,Sentences_from,Sentences_to,Translated_sentences,BLEU
0,"Plastrem miodu opływają wargi twoje, oblubienico moja! miód i mleko pod językiem twoim, a wonność szat twoich, jako wonność Libanu.","Your lips, my bride, drip like the honeycomb. Honey and milk are under your tongue. The smell of your garments is like the smell of Lebanon.","Honeycomb runneth over thy lips, my bride; honey and milk under thy tongue, and the fragrance of thy garments, as the fragrance of Lebanon.",0.0
1,"I stałem się jako człowiek, który nic nie słyszy, i niema odporu w ustach swoich.","For in you, Yahweh, do I hope. You will answer, Lord my God.","And I have become as a man who hears nothing, and has no resistance in his mouth.",0.0
2,O nieprzyjacielu! azaż wykonane są spustoszenia twoie na wieczność? Poburzyłżeś miasta? i owszem ich samych pamiątka zginęła z niemi.,But Yahweh reigns forever. He has prepared his throne for judgment.,"O enemy, are thy desolations accomplished for ever? Hast thou destroyed the cities? And their very remembrance perished with them.",0.0
3,"A odpowiadając Dawid rzekł: Oto włócznia królewska; niech sam przyjdzie kto z sług, a weźmie ją.","God do so to the enemies of David, and more also, if I leave of all that belongs to him by the morning light so much as one who urinates on a wall. """,And David answered and said: Behold the king's spear; let one of the servants come and take it.,0.0
4,"Potem ty, synu człowieczy! weźmij sobie nóż ostry, to jest brzytwę barwierską, weźmij ją sobie, a ogól nią głowę swoję i brodę swoję; potem weźmij sobie wagę, i rozdziel je.","You, son of man, take a sharp sword; You shall take it as a barber's razor to you, and shall cause it to pass on your head and on your beard: then take balances to weigh, and divide the hair.","Then thou, son of man, take unto thee a sharp knife, that is to say, a razor; take it unto thee, and cut thy head and thy beard with it; then take unto thee a scale, and separate them.",0.105
5,Zachodnią zaś granicę będziecie mieli morze wielkie; to wam będzie granicą od zachodu.,"They traveled from Succoth, and encamped in Etham, which is in the edge of the wilderness.",And the western boundary shall be a great sea; it shall be your boundary from the west.,0.0
6,"Wystaw sobie pamiątki; nakładź sobie gromad kamieni; pamiętaj na ten gościniec, i na drogę, którąś chodziła: nawróć się, panno Izraelska! nawróć się do tych miast swoich.","Set up road signs, make guideposts; set your heart toward the highway, even the way by which you went: turn again, virgin of Israel, turn again to these your cities.","Set up for thyself a memorial; lay a heap of stones for thyself; remember the highway, and the way thou hast gone: repent, O virgin of Israel; repent of thy cities.",0.0
7,"Widząc tedy synowie Ammonowi, że się zbrzydzili Dawidowi posłali ciż synowie Ammonowi, i najęli za pieniądze Syryjczyka z domu Rechob, i Syryjczyka w Soba, dwadzieścia tysięcy pieszych, a od króla Maacha tysiąc mężów, a od Istoba dwanaście tysięcy mężów.","When the children of Ammon saw that they were become odious to David, the children of Ammon sent and hired the Syrians of Beth Rehob, and the Syrians of Zobah, twenty thousand footmen, and the king of Maacah with one thousand men, and the men of Tob twelve thousand men.","And the children of Ammon, seeing that they abhorred David, sent the same unto him, and hired for money an Syrian of the house of Rechob, and an Syrian of Soba, twenty thousand men on foot, and of the king of Maach a thousand men, and of Istob, twelve thousand men.",0.134
8,"A wychodzili i przywodzili z Egiptu cug woźników za sześć set srebrników, a konia za sto i za pięćdziesiąt. A tak wszyscy królowie Hetejscy, i królowie Syryjscy z rąk ich koni dostawali.","They brought up and brought out of Egypt a chariot for six hundred pieces of silver, and a horse for one hundred fifty: and so for all the kings of the Hittites, and the kings of Syria, they brought them out by their means.","And they went out and brought out of Egypt a train of coachmen for six hundred pieces of silver, and a horse for a hundred and fifty. And all the kings of Hittite and the kings of Syria received horses by their hands.",0.473
9,Utwierdzona jest stolica twoja przed wszystkiemi czasy; tyś jest od wieczności.,Your throne is established from long ago. You are from everlasting.,Thy capital is established before all time; thou art from everlasting.,0.0
10,"Nadto rzekli do niego: Cóż z tobą uczynimy, aby się morze uspokoiło? Bo się morze im dalej tem bardziej burzyło.","Then they said to him, ""What shall we do to you, that the sea may be calm to us?"" For the sea grew more and more stormy.","And they said to him: What shall we do with thee, that the sea may calm itself? For the farther the sea went, the stormier it became.",0.39
11,"Wspomnij, Panie! na zelżywość sług twoich, a jakom ponosił wzgardę w zanadrzu swem od wszystkich narodów możnych.","With which your enemies have mocked, Yahweh, with which they have mocked the footsteps of your anointed one.","Remember, O Lord! How I have borne the scorn of all mighty nations in mine own hand.",0.0
12,Synów Adynowych sześć set pięćdziesiąt i pięć;,"The children of Adin, six hundred fifty-five.",Sons of Adyn six hundred and fifty and five;,0.0
13,"I wysłał je Mojżesz po tysiącu z każdego pokolenia na wojnę; posłał też z nimi Fineesa, syna Eleazara kapłana, na wojnę, a naczynia święte, i trąby do trąbienia były w ręku jego.","""If she has a husband, while her vows are on her, or the rash utterance of her lips, with which she has bound her soul,","And Moses sent them a thousand of every tribe to make war: and he sent Phinees the son of Eleazar the priest with them to make war: and the holy vessels, and the trumpets to blow, were in his hand.",0.0
14,"Powiedz synom Izraelskim, a rzecz do nich: Gdy wnijdziecie do ziemi, do której Ja was wprowadzę:","""Speak to the children of Israel, and tell them, 'When you come into the land where I bring you,","Tell the children of Israel, and say to them: When ye come into the land where I will bring you in:",0.464
15,"Pan Jeruzalem buduje, a rozproszonego Izraela zgromadza.",Yahweh builds up Jerusalem. He gathers together the outcasts of Israel.,The Lord builds Jerusalem and gathers scattered Israel.,0.0
16,"A gdy zstąpili z góry do miasta, rozmawiał z Saulem na dachu.","When they had come down from the high place into the city, he talked with Saul on the housetop.","And when they came down from the mountain into the city, he spoke to Saul on the roof.",0.253
17,"I powiedział mu lud oneż słowa, mówiąc: To dadzą mężowi, który go zabije.","The people answered him in this way, saying, ""So shall it be done to the man who kills him.""","And the people spake unto him, saying, This shall they give unto the man that killeth him.",0.0
