,Sentences_from,Sentences_to,Translated_sentences,BLEU
0,"Zęby są za duże na jamnika, za małe na wyżła.","The dog's jaw, as shown in the space between these marks, is too broad in my opinion for a terrier and not broad enough for a mastiff.","The teeth are too big for a Dachshund, too small for a Giant.",0.0
1,Zostawiłem więc sir Henryka w domu i pojechałem na zwiady.,"I left Sir Henry behind, therefore, not without some prickings of conscience, and drove off upon my new quest.",So I left Sir Henry at home and went to scout around.,0.134
2,"Jeżeli mają złe względem pana zamiary, mogą je wykonać, zanim zdołamy temu zapobiedz.","If their intentions are evil they might do you a mischief, and we should be powerless to prevent it.","If they have evil intentions towards you, they may carry them out before we can prevent it.",0.0
3,"Zbiegliśmy z pagórka, goniąc uciekającego co tchu Seldona.",At the same moment by a lucky chance the moon broke through the clouds.,"We ran down the hill, chasing Seldon who was running away as fast as he could.",0.0
4,"-- Nie dziw, że znam pańskie stosunki ze słynnym detektywem -- rzekł pan Stapleton. -- Wszak wiadomo powszechnie, iż jesteście w przyjaźni ze sobą.","""It is useless for us to pretend that we do not know you, Dr. Watson,"" said he. ""The records of your detective have reached us here, and you could not celebrate him without being known yourself.","-- Not surprisingly, I know of your relations with the famous detective -- Mr. Stapleton said. -- after all, it is common knowledge that you are on friendly terms with each other.",0.0
5,"Zagasłe oczy świeciły jeszcze, zakrwawiony pysk ział ogniem.","Even now, in the stillness of death, the huge jaws seemed to be dripping with a bluish flame and the small, deep-set, cruel eyes were ringed with fire.","The extinguished eyes were still glowing, the bloody muzzle was smoking fire.",0.0
6,"Zacny starzec, zwiedziony pozorami, polubił Stapletona i za jego pośrednictwem świadczył dużo dobrego, między innymi pani Laurze Lyons.","His plans were suddenly brought to a head by his knowledge that Sir Charles was about to leave the Hall on the advice of Dr. Mortimer, with whose opinion he himself pretended to coincide. He must act at once, or his victim might get beyond his power.","The noble old man, deceived by appearances, took a liking to Stapleton, and through him testified much good, among others to Mrs. Laura Lyons.",0.0
7,"Wiesz, że mam sen lekki, a od chwili, gdym tu przybył w charakterze anioła-stróża, sypiam z otwartemi oczyma, jak zając.","You are aware that I am not a very sound sleeper, and since I have been on guard in this house my slumbers have been lighter than ever.","You know that I sleep lightly, and since I came here as a guardian angel, I sleep with my eyes open, like a hare.",0.0
8,"Sir Henryk był bardziej rad, niż zdziwiony widokiem Holmesa; spodziewał się bowiem, że ostatnie wypadki skłonią go do przybycia.","Sir Henry was more pleased than surprised to see Sherlock Holmes, for he had for some days been expecting that recent events would bring him down from London.",Sir Henry was more rejoiced than surprised at the sight of Holmes; for he had expected that recent accidents would induce him to come.,0.21
9,"Niezrażeni tem, postanowiliśmy próbę ponowić. Następnej nocy zgasiliśmy lampkę, i zapaliwszy papierosy, czekaliśmy, co będzie dalej.","It was incredible how slowly the hours crawled by, and yet we were helped through it by the same sort of patient interest which the hunter must feel as he watches the trap into which he hopes the game may wander.","Undaunted by this, we decided to try again. The next night we turned off the lamp and lit cigarettes and waited to see what would happen next.",0.0
