,Sentences_from,Sentences_to,Translated_sentences,BLEU
0,Edytor i wprowadzanie danych eksploracji jaskiń dla programu Survex,Enter cave survey data for Survex,Cave exploration editor and data entry for Survex,0.0
1,Znajdź i połącz z serwerami gry,Locate and connect to game servers,Find and connect to game servers,0.76
2,"Program dla graczy, umożliwiający szybką i wysokiej jakości komunikację","A low-latency, high quality voice chat program for gaming","Software for gamers, enabling fast and high quality communication",0.0
3,"Powszechnie używane programy z ograniczonymi dla Kubuntu prawami własnościowymi (mp3, avi, mpeg, TrueType, Java, Flash)","Commonly used applications with restricted copyright for kubuntu (mp3, avi, mpeg, TrueType, Java, Flash)","Commonly used programs with proprietary rights restricted for Kubuntu (mp3, avi, mpeg, TrueType, Java, Flash)",0.548
4,"Graficzna administracja kluczami cyfrowymi, używanymi przez APT",Graphical administration tool for digital keys used with APT,Graphical administration of digital keys used by APT,0.0
5,%s: Napotkano błędy podczas przetwarzania. Proces przerwano.,%s: Errors found during postprocessing. Aborting.,%s: Processing errors were encountered. The process was aborted.,0.0
6,Zebrane informacje są wysyłane do systemu śledzenia błędów. To może potrwać kilka minut.,The collected information is being sent to the bug tracking system. This might take a few minutes.,The collected information is sent to the bug tracking system. This may take a few minutes.,0.642
7,Wysyła pliki RAW do zewnętrznego edytora za pomocą linii poleceń,Send RAW files to external editor on command line,Sends RAW files to an external editor using the command line,0.0
8,"Parametry strumienia to %iHz, %s, %i kanał/ów","Stream parameters are %iHz, %s, %i channels","Flux parameters are %iHz, %s, %i channel(s)",0.809
9,Interfejs graficzny do oszukiwania w grze Scanmen,A game hacking tool. A GUI front-end for scanmem.,The graphical interface for cheating in Scanmen,0.0
10,Aplet panelu do odnawiania list autoryzacji,Panel Applet to renew authentication credentials,Panel applet for renewing authorization lists,0.0
11,Narzędzie do eksploracji sieci i skanowania portów,Explore the network and scan ports,Network exploration and port scanning tool,0.0
12,"Podrzucaj klaunów i rozbijaj nimi balony tak, aby nie spadli na ziemię",Throw the clowns before they fall and hit the balloons with them,Toss the clowns and burst the balloons with them so they don't fall to the ground,0.2
13,Symulator podniebnych walk za sterami wojskowego myśliwca,Fly military aircraft in a combat situation,Simulator of sky battles at the helm of a military fighter,0.0
14,Twoja misja: wygrać z obcymi. Trójwymiarowa gra wojenna,Mission and Objective based 3D Action Game,Your mission: to win against the aliens. Three-dimensional war game,0.0
15,Pozwól komputerowi przeczytać dla Ciebie tekst,Let the computer read out text for you,Let the computer read the text for you,0.5
16,"Program do edycji obrazów, oparty o VIPS",Image manipulation program based on VIPS,"Image editing software, based on VIPS",0.0
17,Trójwymiarowa gra artyleryjska w stylu Scorched Earth,3D artillery game similar to Scorched Earth,A 3D artillery game in the style of Scorched Earth,0.0
18,"-r,--real # konwertuje rzeczywisty znacznik czasowy na kolejkę","-r,--real # convert real-time-stamp on queue","-r,--real # convert real timestamp to queue",0.0
19,Umożliwia swobodną organizację fotografii w urządzeniach iPod,"Organize photos on your iPod, freely!",Lets you organize your photos on your iPod with ease,0.276
20,Rozpocznij poszukiwanie porwanej księżniczki i odkryj zbrodnicze intencje firmy Lederhosen,"Embark on a quest to rescue a kidnapped princess and in the process, discover the true sinister intentions of a suspiciously located Lederhosen company",Begin the search for the kidnapped princess and discover the criminal intentions of the Lederhosen,0.0
21,"-s,--source addr : odczyt z danego adresu (klient:port)","-s,--source addr : read from given addr (client:port)","-s,--source addr : read from the given address (client:port)",0.394
22,Pozwala na przeglądanie i instalację każdego spośród tysięcy programów dla Ubuntu,Lets you choose from thousands of applications available for Ubuntu,Allows you to browse and install any of the thousands of programs for Ubuntu,0.0
23,Żyłka wędkarska nie nadaje się do czyszczenia zębów,Fishing wire makes bad dental floss,Fishing line is not suitable for cleaning teeth,0.0
24,To działanie nie może zostać cofnięte. Usunąć tę aktywność?,"This operation cannot be undone, are you sure you want to delete this activity?",This activity cannot be undone. Remove this activity?,0.0
25,"Prosty w użyciu, ładny, funkcjonalny klient gry w szachy dla GNOME","PyChess is a fully featured, nice looking, easy to use chess client for the Gnome desktop","Easy to use, pretty, functional chess client for GNOME",0.0
26,Synchronizacja plików między komputerami oraz w internecie,Sync your files across computers and to the web,Synchronize files between computers and on the Internet,0.0
27,%s: %s w linii %d standardowego wejścia,%s: %s in line %d of standard input,%s: %s on line %d of the standard input,0.0
28,"Słownik, analizator użycia dysku twardego, przeglądarka plików raportów, narzędzie wyszukujące","Dictionary, Disk Usage Analyzer, Log File Viewer, Search Tool","Dictionary, hard disk usage analyzer, report file viewer, search tool",0.399
29,"Umożliwia proste zarządzanie certyfikatami CA X.509, CSR, CRL w trybie graficznym","Manage X.509 certificates and CAs, easily and graphically","Enables simple management of CA X.509, CSR, CRL certificates in graphical mode",0.0
30,Ustawiaj namioty na specjalnych polach według ustalonych zasad,"Place tents in some of the remaining squares, under some conditions",Place tents on special fields according to the rules,0.0
31,Należy umieścić czwórkę kier obok trójki kier.,Place the four of hearts next to the three of hearts.,Place the four of hearts next to the three of hearts.,1.0
32,%s: zapisanie całego profilu nie powiodło się,%s: Unable to write entire profile entry,%s: saving the entire profile failed,0.0
