,Sentences_from,Sentences_to,Translated_sentences,BLEU
0,"Plastrem miodu opływają wargi twoje, oblubienico moja! miód i mleko pod językiem twoim, a wonność szat twoich, jako wonność Libanu.","Your lips, my bride, drip like the honeycomb. Honey and milk are under your tongue. The smell of your garments is like the smell of Lebanon.","your lips flow over the honeycomb, my bride. honey and milk are under your tongue, and the fragrance of your garments is the fragrance of lebanon.",0.404
1,"I stałem się jako człowiek, który nic nie słyszy, i niema odporu w ustach swoich.","For in you, Yahweh, do I hope. You will answer, Lord my God.","and i have become as a man who hears nothing, and there is no rebuke in his mouth.",0.0
2,O nieprzyjacielu! azaż wykonane są spustoszenia twoie na wieczność? Poburzyłżeś miasta? i owszem ich samych pamiątka zginęła z niemi.,But Yahweh reigns forever. He has prepared his throne for judgment.,"o enemy! are your desolations made for eternity? have you ruined the cities? and yes, their remembrance was lost with them.",0.0
3,"A odpowiadając Dawid rzekł: Oto włócznia królewska; niech sam przyjdzie kto z sług, a weźmie ją.","God do so to the enemies of David, and more also, if I leave of all that belongs to him by the morning light so much as one who urinates on a wall. ""","and david answering said, behold the king&#39;s spear; let one of the servants come himself and take it.",0.0
4,"Potem ty, synu człowieczy! weźmij sobie nóż ostry, to jest brzytwę barwierską, weźmij ją sobie, a ogól nią głowę swoję i brodę swoję; potem weźmij sobie wagę, i rozdziel je.","You, son of man, take a sharp sword; You shall take it as a barber's razor to you, and shall cause it to pass on your head and on your beard: then take balances to weigh, and divide the hair.","then you, son of man! take for yourself a sharp knife, that is, a razor sharp razor, take it for yourself, and put it around your head and your chin; then take the weight, and divide it.",0.168
5,Zachodnią zaś granicę będziecie mieli morze wielkie; to wam będzie granicą od zachodu.,"They traveled from Succoth, and encamped in Etham, which is in the edge of the wilderness.",and the western border you will have a great sea; this will be the border for you from the west.,0.0
6,"Wystaw sobie pamiątki; nakładź sobie gromad kamieni; pamiętaj na ten gościniec, i na drogę, którąś chodziła: nawróć się, panno Izraelska! nawróć się do tych miast swoich.","Set up road signs, make guideposts; set your heart toward the highway, even the way by which you went: turn again, virgin of Israel, turn again to these your cities.","store your souvenirs; get yourself a bunch of stones; remember this highway and the way which you have walked: convert, maid of israel! turn to your cities.",0.0
7,"Widząc tedy synowie Ammonowi, że się zbrzydzili Dawidowi posłali ciż synowie Ammonowi, i najęli za pieniądze Syryjczyka z domu Rechob, i Syryjczyka w Soba, dwadzieścia tysięcy pieszych, a od króla Maacha tysiąc mężów, a od Istoba dwanaście tysięcy mężów.","When the children of Ammon saw that they were become odious to David, the children of Ammon sent and hired the Syrians of Beth Rehob, and the Syrians of Zobah, twenty thousand footmen, and the king of Maacah with one thousand men, and the men of Tob twelve thousand men.","when the sons of ammon saw that they were disgusted with david, they sent the sons of ammon, and hired a syrian from the house of rehob, and a syrian in soba for money, twenty thousand foot soldiers, and from the king of maah a thousand men, and from istob, twelve thousand men.",0.198
8,"A wychodzili i przywodzili z Egiptu cug woźników za sześć set srebrników, a konia za sto i za pięćdziesiąt. A tak wszyscy królowie Hetejscy, i królowie Syryjscy z rąk ich koni dostawali.","They brought up and brought out of Egypt a chariot for six hundred pieces of silver, and a horse for one hundred fifty: and so for all the kings of the Hittites, and the kings of Syria, they brought them out by their means.","and they went out and brought out of egypt the lines of charioteers for six hundred pieces of silver, and a horse for a hundred and fifty. so all the kings of hittas and the kings of syria received at the hands of their horses.",0.434
9,Utwierdzona jest stolica twoja przed wszystkiemi czasy; tyś jest od wieczności.,Your throne is established from long ago. You are from everlasting.,your throne is established before all times; you are from eternity.,0.339
