,Sentences_from,Sentences_to,Translated_sentences,BLEU
0,"Plastrem miodu opływają wargi twoje, oblubienico moja! miód i mleko pod językiem twoim, a wonność szat twoich, jako wonność Libanu.","Your lips, my bride, drip like the honeycomb. Honey and milk are under your tongue. The smell of your garments is like the smell of Lebanon.","Honeycombs are pouring over your lips, my bride! honey and milk under your tongue, and the fragrance of your garments as the fragrance of Lebanon.",0.224
1,"I stałem się jako człowiek, który nic nie słyszy, i niema odporu w ustach swoich.","For in you, Yahweh, do I hope. You will answer, Lord my God.","And I have become as a man who hears nothing, and has no resistance in his mouth.",0.0
2,O nieprzyjacielu! azaż wykonane są spustoszenia twoie na wieczność? Poburzyłżeś miasta? i owszem ich samych pamiątka zginęła z niemi.,But Yahweh reigns forever. He has prepared his throne for judgment.,"O enemy! are the devastation done for eternity? Have you demolished cities? and yes, their very souvenir died with them.",0.0
3,"A odpowiadając Dawid rzekł: Oto włócznia królewska; niech sam przyjdzie kto z sług, a weźmie ją.","God do so to the enemies of David, and more also, if I leave of all that belongs to him by the morning light so much as one who urinates on a wall. ""","And in answer, David said, Behold the king's spear; let one of the servants come and take it.",0.0
4,"Potem ty, synu człowieczy! weźmij sobie nóż ostry, to jest brzytwę barwierską, weźmij ją sobie, a ogól nią głowę swoję i brodę swoję; potem weźmij sobie wagę, i rozdziel je.","You, son of man, take a sharp sword; You shall take it as a barber's razor to you, and shall cause it to pass on your head and on your beard: then take balances to weigh, and divide the hair.","Then you, son of man! take a sharp knife, that is, a razor of a bar, take it for yourself, and generalize your head and beard with it; then take the weight, and separate it.",0.219
5,Zachodnią zaś granicę będziecie mieli morze wielkie; to wam będzie granicą od zachodu.,"They traveled from Succoth, and encamped in Etham, which is in the edge of the wilderness.",And you will have a great sea on the western border; it will be your border from the west.,0.0
6,"Wystaw sobie pamiątki; nakładź sobie gromad kamieni; pamiętaj na ten gościniec, i na drogę, którąś chodziła: nawróć się, panno Izraelska! nawróć się do tych miast swoich.","Set up road signs, make guideposts; set your heart toward the highway, even the way by which you went: turn again, virgin of Israel, turn again to these your cities.","Put out souvenirs for yourself; put on clusters of stones; remember this highway and the road you walked: repent, Miss Israel! turn to these cities of yours.",0.0
7,"Widząc tedy synowie Ammonowi, że się zbrzydzili Dawidowi posłali ciż synowie Ammonowi, i najęli za pieniądze Syryjczyka z domu Rechob, i Syryjczyka w Soba, dwadzieścia tysięcy pieszych, a od króla Maacha tysiąc mężów, a od Istoba dwanaście tysięcy mężów.","When the children of Ammon saw that they were become odious to David, the children of Ammon sent and hired the Syrians of Beth Rehob, and the Syrians of Zobah, twenty thousand footmen, and the king of Maacah with one thousand men, and the men of Tob twelve thousand men.","Seeing therefore ammon's sons that they were disgusted with David, sent their sons to Ammon, and they paid with money a Syrian from the house of Rechob, and a Syrian in Soba, twenty thousand pedestrians, and from King Maach a thousand men, and from Istob twelve thousand men.",0.0
8,"A wychodzili i przywodzili z Egiptu cug woźników za sześć set srebrników, a konia za sto i za pięćdziesiąt. A tak wszyscy królowie Hetejscy, i królowie Syryjscy z rąk ich koni dostawali.","They brought up and brought out of Egypt a chariot for six hundred pieces of silver, and a horse for one hundred fifty: and so for all the kings of the Hittites, and the kings of Syria, they brought them out by their means.","And they went out and brought from Egypt the cug of charioteers for six hundred pieces of silver, and the horse for a hundred and fifty. And so all the Kings of The Hitea and the Kings of Syria received from the hands of their horses.",0.342
9,Utwierdzona jest stolica twoja przed wszystkiemi czasy; tyś jest od wieczności.,Your throne is established from long ago. You are from everlasting.,Your capital is established before all times; you are from eternity.,0.0
10,"Nadto rzekli do niego: Cóż z tobą uczynimy, aby się morze uspokoiło? Bo się morze im dalej tem bardziej burzyło.","Then they said to him, ""What shall we do to you, that the sea may be calm to us?"" For the sea grew more and more stormy.","Moreover, they said to him, What shall we do with you so that the sea may be calmed? Because the more the sea was disturbed.",0.418
11,"Wspomnij, Panie! na zelżywość sług twoich, a jakom ponosił wzgardę w zanadrzu swem od wszystkich narodów możnych.","With which your enemies have mocked, Yahweh, with which they have mocked the footsteps of your anointed one.","Remember, Lord! to the ease of your servants, and to the ass he bore contempt in his sleeve from all the mighty nations.",0.0
12,Synów Adynowych sześć set pięćdziesiąt i pięć;,"The children of Adin, six hundred fifty-five.",The sons of Adyn six hundred and fifty and five;,0.0
13,"I wysłał je Mojżesz po tysiącu z każdego pokolenia na wojnę; posłał też z nimi Fineesa, syna Eleazara kapłana, na wojnę, a naczynia święte, i trąby do trąbienia były w ręku jego.","""If she has a husband, while her vows are on her, or the rash utterance of her lips, with which she has bound her soul,","And Moses sent them a thousand from each generation to war; he also sent With them Phinees, the son of Eleazar the priest, to war, and the holy vessels and trumpets were in his hand.",0.0
14,"Powiedz synom Izraelskim, a rzecz do nich: Gdy wnijdziecie do ziemi, do której Ja was wprowadzę:","""Speak to the children of Israel, and tell them, 'When you come into the land where I bring you,","Say to the children of Israel, and the thing to them: When you enter into the land into which I will lead you:",0.32
15,"Pan Jeruzalem buduje, a rozproszonego Izraela zgromadza.",Yahweh builds up Jerusalem. He gathers together the outcasts of Israel.,The Lord Jerusalem builds up and gathers scattered Israel.,0.0
16,"A gdy zstąpili z góry do miasta, rozmawiał z Saulem na dachu.","When they had come down from the high place into the city, he talked with Saul on the housetop.","And when they descended from the mountain into the city, he spoke with Saul on the roof.",0.301
17,"I powiedział mu lud oneż słowa, mówiąc: To dadzą mężowi, który go zabije.","The people answered him in this way, saying, ""So shall it be done to the man who kills him.""","And the people said to him, saying, ""This is what they will give to a husband who will kill him.""",0.0
18,"Zatem podniósł Mojżesz rękę swoję, i uderzył w skałę laską swą dwa kroć, a wyszły wody obfite i piło ono mnóstwo, i bydło ich.","Moses lifted up his hand, and struck the rock with his rod twice: and water came forth abundantly, and the congregation drank, and their livestock.","So Moses raised his hand, and struck the rock with his rod with his two crows, and the abundant waters came out, and it drank plenty, and their cattle.",0.334
19,Na to jeszcze mówiąc do niego Abraham rzekł: A jeźliby się ich tam znalazło czterdzieści? i odpowiedział: Nie uczynię nic dla tych czterdziestu.,"He spoke to him yet again, and said, ""What if there are forty found there?"" He said, ""I will not do it for the forty's sake.""","And then, speaking to him, Abraham said, What if there were forty of them? And he answered, I will do nothing for these forty.",0.138
20,"Wszystkich do haóby przywiedzie przez lud, który im nie będzie ku dogodzie, ani ku pomocy, ani ku pożytkowi, ale tylko ku zelżywości i ku haóbie.","They shall all be ashamed because of a people that can't profit them, that are not a help nor profit, but a shame, and also a reproach.""","He will bring all to haóba by a people who will not be to their good, nor to their help, nor for their benefit, but only for ease and for haóba.",0.0
21,"Jeźliże tak, jako inni ludzie umierają, pomrą ci, a zwykłem innych ludzi karaniem, karani będą, nie posłał mię Pan;","If these men die the common death of all men, or if they be visited after the visitation of all men; then Yahweh hasn't sent me.","If, as other men, they die, they will die, and by the ordinary punishment of other men, they will be punished, the Lord has not sent me;",0.0
22,"Wziąłlibym skrzydła rannej zorzy, abym mieszkał na koócu morza,","If I take the wings of the dawn, and settle in the uttermost parts of the sea;","I would take the wings of the morning aurora to live on the sea,",0.255
23,"A gdy Samuel wejrzał na Saula, rzekł mu Pan. Otóż mąż, o którymemci powiedział; tenci będzie panował nad ludem moim.","When Samuel saw Saul, Yahweh said to him, ""Behold, the man of whom I spoke to you! this same shall have authority over my people.""","And when Samuel looked upon Saul, the Lord said to him. Now the husband of whom he said; tenci will rule over my people.",0.0
24,Oczy moje ustawicznie patrzą na Pana; albowiem on wywodzi z sieci nogi moje.,"My eyes are ever on Yahweh, for he will pluck my feet out of the net.",My eyes are constantly looking at the Lord; for he derives my legs from the net.,0.0
