,Sentences_from,Sentences_to,Translated_sentences,BLEU
0,Edytor i wprowadzanie danych eksploracji jaskiń dla programu Survex,Enter cave survey data for Survex,Cave Exploration Data Editor and Input for Survex,0.0
1,Znajdź i połącz z serwerami gry,Locate and connect to game servers,Find and connect to game servers,0.76
2,"Program dla graczy, umożliwiający szybką i wysokiej jakości komunikację","A low-latency, high quality voice chat program for gaming","A program for gamers, enabling fast and high-quality communication",0.0
3,"Powszechnie używane programy z ograniczonymi dla Kubuntu prawami własnościowymi (mp3, avi, mpeg, TrueType, Java, Flash)","Commonly used applications with restricted copyright for kubuntu (mp3, avi, mpeg, TrueType, Java, Flash)","Commonly used programs with limited ownership rights for Kubuntu (mp3, avi, mpeg, TrueType, Java, Flash)",0.536
4,"Graficzna administracja kluczami cyfrowymi, używanymi przez APT",Graphical administration tool for digital keys used with APT,Graphical administration of digital keys used by APT,0.0
5,%s: Napotkano błędy podczas przetwarzania. Proces przerwano.,%s: Errors found during postprocessing. Aborting.,%s: Errors encountered during processing. The process was interrupted.,0.0
6,Zebrane informacje są wysyłane do systemu śledzenia błędów. To może potrwać kilka minut.,The collected information is being sent to the bug tracking system. This might take a few minutes.,The collected information is sent to the bug tracking system. This may take a few minutes.,0.642
7,Wysyła pliki RAW do zewnętrznego edytora za pomocą linii poleceń,Send RAW files to external editor on command line,Sends RAW files to an external editor using the command line,0.0
8,"Parametry strumienia to %iHz, %s, %i kanał/ów","Stream parameters are %iHz, %s, %i channels","Stream parameters are %iHz, %s, %and channel(s)",0.643
9,Interfejs graficzny do oszukiwania w grze Scanmen,A game hacking tool. A GUI front-end for scanmem.,Graphical interface for cheating in Scanmen,0.0
10,Aplet panelu do odnawiania list autoryzacji,Panel Applet to renew authentication credentials,Panel applet for renewing authorization lists,0.0
11,Narzędzie do eksploracji sieci i skanowania portów,Explore the network and scan ports,Network exploration and port scanning tool,0.0
12,"Podrzucaj klaunów i rozbijaj nimi balony tak, aby nie spadli na ziemię",Throw the clowns before they fall and hit the balloons with them,Toss clowns and smash balloons with them so that they do not fall to the ground,0.0
13,Symulator podniebnych walk za sterami wojskowego myśliwca,Fly military aircraft in a combat situation,Simulator of sky fights at the controls of a military fighter,0.0
14,Twoja misja: wygrać z obcymi. Trójwymiarowa gra wojenna,Mission and Objective based 3D Action Game,Your mission: to win against the aliens. Three-dimensional war game,0.0
15,Pozwól komputerowi przeczytać dla Ciebie tekst,Let the computer read out text for you,Let the computer read the text for you,0.5
16,"Program do edycji obrazów, oparty o VIPS",Image manipulation program based on VIPS,"Image editing program, based on VIPS",0.537
17,Trójwymiarowa gra artyleryjska w stylu Scorched Earth,3D artillery game similar to Scorched Earth,Three-dimensional artillery game in the style of Scorched Earth,0.0
18,"-r,--real # konwertuje rzeczywisty znacznik czasowy na kolejkę","-r,--real # convert real-time-stamp on queue","-r,--real # converts the actual timestamp to queue",0.0
19,Umożliwia swobodną organizację fotografii w urządzeniach iPod,"Organize photos on your iPod, freely!",Allows you to freely organize photos on iPod devices,0.0
20,Rozpocznij poszukiwanie porwanej księżniczki i odkryj zbrodnicze intencje firmy Lederhosen,"Embark on a quest to rescue a kidnapped princess and in the process, discover the true sinister intentions of a suspiciously located Lederhosen company",Start the search for the kidnapped princess and discover the criminal intentions of Lederhosen,0.0
21,"-s,--source addr : odczyt z danego adresu (klient:port)","-s,--source addr : read from given addr (client:port)","-s,--source addr : read from a given address (client:port)",0.394
22,Pozwala na przeglądanie i instalację każdego spośród tysięcy programów dla Ubuntu,Lets you choose from thousands of applications available for Ubuntu,Allows you to view and install any of the thousands of programs for Ubuntu,0.0
23,Żyłka wędkarska nie nadaje się do czyszczenia zębów,Fishing wire makes bad dental floss,Fishing line is not suitable for cleaning teeth,0.0
24,To działanie nie może zostać cofnięte. Usunąć tę aktywność?,"This operation cannot be undone, are you sure you want to delete this activity?",This action cannot be undone. Delete this activity?,0.0
25,"Prosty w użyciu, ładny, funkcjonalny klient gry w szachy dla GNOME","PyChess is a fully featured, nice looking, easy to use chess client for the Gnome desktop","Simple to use, nice, functional chess client for GNOME",0.0
26,Synchronizacja plików między komputerami oraz w internecie,Sync your files across computers and to the web,Sync files between computers and on the web,0.0
27,%s: %s w linii %d standardowego wejścia,%s: %s in line %d of standard input,%s: %s in line %d of standard input,1.0
28,"Słownik, analizator użycia dysku twardego, przeglądarka plików raportów, narzędzie wyszukujące","Dictionary, Disk Usage Analyzer, Log File Viewer, Search Tool","Dictionary, Hard Disk Usage Analyzer, Report File Viewer, Search Tool",0.399
29,"Umożliwia proste zarządzanie certyfikatami CA X.509, CSR, CRL w trybie graficznym","Manage X.509 certificates and CAs, easily and graphically","Allows simple management of CA X.509, CSR, CRL certificates in graphical mode",0.0
30,Ustawiaj namioty na specjalnych polach według ustalonych zasad,"Place tents in some of the remaining squares, under some conditions",Set up tents on special fields according to established rules,0.0
31,Należy umieścić czwórkę kier obok trójki kier.,Place the four of hearts next to the three of hearts.,You should place the four hearts next to the three hearts.,0.483
32,%s: zapisanie całego profilu nie powiodło się,%s: Unable to write entire profile entry,%s: saved entire profile failed,0.0
33,Zgłasza błąd programu wskazanego kliknięciem w okno docelowe,Click a window as a target for filing a problem report.,Reports an error of the program indicated by clicking on the target window,0.0
34,Wyświetla ponownie wyśledzone ślady stosu i pyta o potwierdzenie przez wysłaniem ich do bazy błędów.,Display retraced stack traces and ask for confirmation before sending them to the crash database.,Displays the retraced stack traces and asks for confirmation before sending them to the error database.,0.545
35,Aplet powiadomień poczty Gmail dla KDE,A Gmail notifier applet for KDE,Gmail Notifications Applet for KDE,0.0
36,"%s: analiza wiersza ""%s"" nie powiodła się",%s: Unable to parse input line '%s',"%s: Row ""%s"" failed to analyze",0.0
37,Aplikacja do wyświetlania informacji o oknach i środowisku graficznym,A window information utility for X,Application for displaying information about windows and the desktop environment,0.0
38,Należy umieścić damę kier obok waleta kier.,Place the queen of hearts next to the jack of hearts.,It is necessary to place the lady of hearts next to the jack of hearts.,0.516
39,"Przykładowe zgłoszenie zawiera informacje o pojemności dysku komputera, podłączonych urządzeniach czy ilości aktualnie uruchomionych programów.","This includes things like how many programs are running, how much disk space the computer has, and what devices are connected.","The sample notification contains information about the capacity of the computer's disk, connected devices or the number of currently running programs.",0.0
40,Łączy aplikacje audio i MIDI w jedną sesję dźwiękową,Connect audio and MIDI applications together and manage audio sessions,Combines audio and MIDI applications into one audio session,0.278
41,Uniwersalny odtwarzacz filmów i piosenek karaoke,Universal karaoke songs and movies player,Universal Karaoke Movie and Song Player,0.0
42,"Roztop górę lodową na małe kawałki, aby uwięzić pingwiny!","Melt an iceberg into small pieces, in order to trap the penguins",Melt the iceberg into small pieces to trap penguins!,0.279
43,Przeglądaj system plików z menedżerem plików,Browse the filesystem with the file manager,Browse the file system with file manager,0.0
44,Program do tworzenia diagramów TikZ (z pakietu LaTeX pgf),Program for creating TikZ (from the LaTeX pgf package) diagrams,TikZ diagram maker (from laTeX pgf package),0.0
45,Wieloplatformowy interfejs dla skanera bezpieczeństwa Nmap,A cross-platform GUI for the Nmap Security Scanner.,Cross-platform interface for Nmap security scanner,0.0
46,"Analiza filogenezy oraz dopasowań sekwencji DNA, RNA, białek, peptydów i nukleotydów",Global multiple nucleotide or peptide sequence alignment and phylogenetic analysis,"Analysis of phylogeny and matching of DNA, RNA, proteins, peptides and nucleotides sequences",0.0
47,"Rozwijany emulator terminala, bazujący na technologii konsoli KDE",A drop-down terminal emulator based on KDE Konsole technology.,"Developable terminal emulator, based on KDE console technology",0.467
48,Interfejs graficzny do zarządzania aplikacjami Screenlets,A graphical tool to manage your Screenlets.,Graphical interface for managing Screenlets applications,0.0
49,Zostań dowódcą łodzi podwodnej w środowisku głębokiego oceanu,Command a submarine in a deep ocean environment,Become a submarine commander in a deep ocean environment,0.525
50,"Trzymaj w ryzach zadania, zasoby i koszty swoich projektów","Handle the tasks, resources, and cost of your projects","Keep the tasks, resources and costs of your projects in check",0.346
51,Aplikacja do testowania wszystkich funkcji guiqwt.,you can use this applications to test all guiqwt features.,An application to test all guiqwt functions.,0.263
52,"Przeglądarka biosygnałów EEG, EMG i ECG. http://sigviewer.sf.net","Viewer for biosignals such as EEG, EMG, and ECG. http://sigviewer.sf.net","EEG, EMG and ECG biosignal viewer. http://sigviewer.sf.net",0.291
53,Mission Pack 2 dla klasycznej strzelanki FPS,Mission Pack 2 for the classic first person shooter,Mission Pack 2 for the classic FPS shooter,0.61
54,Podłączenie do maszyn zdalnych z użyciem Secure Shell,Connect to a remote computer using Secure Shell,Connection to remote machines using Secure Shell,0.0
55,"Ścieżka do pliku z danymi uwierzytelnienia bazy danych problemów. Opcja używana podczas podawania identyfikatora problemu w celu przesłania ponownie prześledzonego śladu stosu (tylko jeśli nie użyto -g, -o, oraz -s)","Path to a file with the crash database authentication information. This is used when specifying a crash ID to upload the retraced stack traces (only if neither -g, -o, nor -s are specified)","The path to the issue database credentials file. Option used when providing the issue ID to submit a retraced stack trace (only if -g, -o, and -s are not used)",0.0
56,Menedżer LAN z powłoką do zdalnego wykonywania poleceń,Remote shell command executor and LAN manager,LAN manager with shell for remote execution of commands,0.0
57,Synchronizacja plików pomiędzy wieloma komputerami z systemem kontroli wersji (domyślnie z Git),Synchronize and version your files across multiple computers with distributed version control (by default with Git),Synchronization of files between multiple computers with version control system (default with Git),0.0
58,"-d, --default wyświetlenie domyślnej listy kontroli dostępu","-d, --default display the default access control list","-d, --default display the default access control list",1.0
59,"-m, --modify=acl zmiana aktualnego(ych) ACL(-i) pliku(ów) -M, --modify-file=plik odczyt z pliku pozycji ACL do zmodyfikowania -x, --remove=acl usunięcie wpisów z ACL(-i) pliku(ów) -X, --remove-file=plik odczyt z pliku pozycji ACL do usunięcia -b, --remove-all usunięcie wszystkich rozszerzonych pozycji ACL -k, --remove-default usunięcie domyślnego ACL","-m, --modify=acl modify the current ACL(s) of file(s) -M, --modify-file=file read ACL entries to modify from file -x, --remove=acl remove entries from the ACL(s) of file(s) -X, --remove-file=file read ACL entries to remove from file -b, --remove-all remove all extended ACL entries -k, --remove-default remove the default ACL","-m, --modify=acl change the current ACL(s) file(s) -M, --modify-file=file read from ACL entry file to modify -x, --remove=acl delete entries from ACL(s) -X, --remove-file=file read from ACL entry file to delete -b, --remove-all delete all extended ACL entries -k, --remove-default remove default ACL(s)",0.281
60,Dodaje dodatkową etykietę do zgłoszenia. Można użyć kilkukrotnie.,Add an extra tag to the report. Can be specified multiple times.,Adds an additional label to the notification. Can be used several times.,0.0
61,%s: nie można odczytać domyślnego ACL dla '%s': %s,%s: cannot get default ACL on '%s': %s,%s: could not read the default ACL for '%s': %s,0.0
62,Interfejs graficzny Qt dla GNU Octave,Graphical Qt frontend for GNU Octave,Qt Graphical Interface for GNU Octave,0.0
63,Wersja profilu nie jest obsługiwana przez moduł Apparmor,Profile version not supported by Apparmor module,Profile version is not supported by Apparmor,0.489
64,Demontaż stosu kafli poprzez usuwanie pasujących par,Disassemble a pile of tiles by removing matching pairs,Dismantling the tile stack by removing matching pairs,0.298
65,Procesor czasu rzeczywistego audio bazujący na manipulacji spektrum częstotliwości,Realtime audio processor based on frequency spectral manipulation,Real-time audio processor based on frequency spectrum manipulation,0.707
66,%s: przydzielenie pamięci dla punktu montowania bazy poddomeny nie powiodło się,%s: Could not allocate memory for subdomainbase mount point,%s: Memory allocation for subdomain base mount point failed,0.0
67,"Administracja serwerem plików, drukowania oraz domen SAMBA","SAMBA file, print and domain server administration","Administration of file server, print and SAMBA domains",0.0
68,Niewielki menedżer plików dla X Window,A lightweight file manager for X Window,Small file manager for X Window,0.615
69,Należy przenieść ~a na siódemkę trefl.,Move ~a onto the seven of clubs.,Move ~a to seven clubs.,0.0
70,Błąd w profilu %s. Wczytanie nie powiodło się.,"ERROR in profile %s, failed to load",Error in profile %s. Load failed.,0.455
71,Program transferu danych dla Sony HiMD Walkman,Transfer software for Sony HiMD Walkman,Data transfer program for Sony HiMD Walkman,0.455
72,Odtwórz i sprawdź ślady generowane przez apitrace,Play back and inspect traces generated by apitrace,Recreate and check the traces generated by apitrace,0.366
73,Analizator danych statystycznych - darmowa alternatywa dla SPSS,Analyze statistical data with a free alternative to SPSS,Statistical Data Analyzer - a free alternative to SPSS,0.513
74,Zagraj w oryginalną gre Quake III Arena,Play the original Quake III Arena,Play the original Quake III Arena game,0.846
75,Należy przenieść ~a na puste dolne miejsce.,Move ~a onto an empty bottom slot.,Move ~a to the empty bottom space.,0.0
76,Edytor tagów MP3 i Ogg Vorbis,MP3 and Ogg Vorbis tag editor,MP3 and Ogg Vorbis tag editor,1.0
77,Należy przenieść ~a na ósemkę trefl.,Move ~a onto the eight of clubs.,Move ~a to eight clubs.,0.0
78,Dwuwymiarowa gra w stylu kultowych platformówek,A 2D platform game with style similar to classic sidescroller games,Two-dimensional game in the style of iconic platformers,0.0
79,Profesjonalne zarządzanie fotografiami dzięki potędze otwartego oprogramowania,Manage your photographs like a professional with the power of open source,Professional photo management with the power of open source software,0.434
80,Należy przenieść ~a na siódemkę karo.,Move ~a onto the seven of diamonds.,Move ~a to the karo seven.,0.0
81,Konfiguracja obsługi wielu języków w systemie,Configure multiple and native language support on your system,Configure system multi-language support,0.0
82,Interfejs graficzny dla narzędzi do zarządzania dyskami,Configure LVM in a graphical setting,Graphical interface for disk management tools,0.0
83,Zobacz wszystkie znaki czcionek we wszystkich rozmiarach.,View all characters of font in all sizes.,See all font characters in all sizes.,0.0
84,Graj w gry z Sega Master System i Game Gear,Play Sega Master System and Game Gear games,Play games with Sega Master System and Game Gear,0.645
85,Chińska gra GO. Graj z drugim graczem lub komputerem,Play Go against human or computer opponents,Chinese GO game. Play with another player or computer,0.0
86,Wyświetla i modyfikuje atrybuty ACL oraz użytkownika plików lub folderów,View or change ACL and User Extended Attributes on files and directories,Displays and modifies ACL and user attributes for files or folders,0.0
87,"Pozwala na tworzenie płyt video CD i DVD, które można później odtwarzać w domowych odtwarzaczach DVD","Allows to create video CDs and DVDs, suitable to be reproduced in home DVD players",Allows you to create video CDs and DVDs that can later be played in home DVD players,0.451
88,"Gra typu puzzle, oparta na sześciokątnych elementach",Puzzle game based on hexagonal tiles,"Puzzle game, based on hexagonal elements",0.76
89,Interfejs graficzny umożliwiający bezproblemowe zapisywanie obrazów skanowanych obiektów w formacie PDF,A GUI to aid the scan-to-PDF process,Graphical interface for seamless saving of images of scanned objects in PDF format,0.0
90,Program do powolnej obsługi alfabetu Morse'a (CW QRSS) na dwóch częstotliwościach (DFCW),slow CW (QRSS) / dual-frequency CW (DFCW),Program for slow handling of Morse code (CW QRSS) on two frequencies (DFCW),0.0
91,Chinese Input Method (Use Light weight UI),Chinese Input Method (Use Light weight UI),Chinese Input Method (Use Light weight UI),1.0
92,Dwuwymiarowa wojna czołgów dla kilku graczy z dzielonym ekranem,fast 2D tank arcade game with multiplayer and split-screen modes,Two-dimensional tank war for several players with a split screen,0.0
93,Powiadamianie o nowych wiadomościach poczty e-mail,Gnubiff is a mail notification program.,Notify you of new e-mail messages,0.0
94,Zarządzanie harmonogramem nagrań oraz przegląd EPG stacji telewizyjnych,Schedule recordings and browse program guide,Recording schedule management and EPG overview of TV stations,0.0
95,Pokazuje status instancji EC2 uruchomionych na określonym koncie.,Shows Status of EC2 instances running on given account.,Shows the status of EC2 instances running under the specified account.,0.389
96,%s: wewnętrzne przepełnienie bufora; przekroczono %d znaków,"%s: Internal buffer overflow detected, %d characters exceeded",%s: internal buffer overflow; %d characters exceeded,0.5
97,Optymalizacja prawdopodobieństwa znalezienia sex partnera na stronach randkowych,Optimize your probabilities to have sex on dating websites,Optimizing the likelihood of finding a sex partner on dating sites,0.0
98,Dodanie informacji o czasie do logów dla operacji trybu wsadowego (batch operation),"Prepend timestamps to log messages, for batch operation",Add time information to logs for batch operations,0.0
99,Błąd alokacji pamięci: Nie można usunąć ^%s,Memory Allocation Error: Unable to remove ^%s,Memory allocation error: Unable to delete ^%s,0.643
100,Należy przenieść ~a na puste miejsce rezerwy.,Move ~a onto an empty reserve slot.,Move ~a to an empty reserve space.,0.0
