,Sentences_from,Sentences_to,Translated_sentences,BLEU
0,"Plastrem miodu opływają wargi twoje, oblubienico moja! miód i mleko pod językiem twoim, a wonność szat twoich, jako wonność Libanu.","Your lips, my bride, drip like the honeycomb. Honey and milk are under your tongue. The smell of your garments is like the smell of Lebanon.","Your lips are like honeycomb, my bride! honey and milk under your tongue, and the fragrance of your garments, as the fragrance of Lebanon.",0.0
1,"I stałem się jako człowiek, który nic nie słyszy, i niema odporu w ustach swoich.","For in you, Yahweh, do I hope. You will answer, Lord my God.","And I became like a man who hears nothing, and has no resistance in his mouth.",0.0
2,O nieprzyjacielu! azaż wykonane są spustoszenia twoie na wieczność? Poburzyłżeś miasta? i owszem ich samych pamiątka zginęła z niemi.,But Yahweh reigns forever. He has prepared his throne for judgment.,"O enemy! are your desolations made for ever? Have you outraged the towns? and indeed, their own memory died with them.",0.0
3,"A odpowiadając Dawid rzekł: Oto włócznia królewska; niech sam przyjdzie kto z sług, a weźmie ją.","God do so to the enemies of David, and more also, if I leave of all that belongs to him by the morning light so much as one who urinates on a wall. ""","And David answered and said, Behold the king's spear: let one of the servants come and take it.",0.0
4,"Potem ty, synu człowieczy! weźmij sobie nóż ostry, to jest brzytwę barwierską, weźmij ją sobie, a ogól nią głowę swoję i brodę swoję; potem weźmij sobie wagę, i rozdziel je.","You, son of man, take a sharp sword; You shall take it as a barber's razor to you, and shall cause it to pass on your head and on your beard: then take balances to weigh, and divide the hair.","Then you, son of man! take for yourself a sharp knife, that is, a barber's razor, take it for yourself, and cover your head and your beard with it; then take for yourself the scales, and divide them.",0.194
5,Zachodnią zaś granicę będziecie mieli morze wielkie; to wam będzie granicą od zachodu.,"They traveled from Succoth, and encamped in Etham, which is in the edge of the wilderness.",And your western border shall be the great sea; it shall be your border on the west.,0.0
6,"Wystaw sobie pamiątki; nakładź sobie gromad kamieni; pamiętaj na ten gościniec, i na drogę, którąś chodziła: nawróć się, panno Izraelska! nawróć się do tych miast swoich.","Set up road signs, make guideposts; set your heart toward the highway, even the way by which you went: turn again, virgin of Israel, turn again to these your cities.","Set up for yourselves a memorial; set up for yourselves a heap of stones; remember the tabernacle, and the way that she walked: turn again, O Virgin of Israel. return to your cities.",0.0
7,"Widząc tedy synowie Ammonowi, że się zbrzydzili Dawidowi posłali ciż synowie Ammonowi, i najęli za pieniądze Syryjczyka z domu Rechob, i Syryjczyka w Soba, dwadzieścia tysięcy pieszych, a od króla Maacha tysiąc mężów, a od Istoba dwanaście tysięcy mężów.","When the children of Ammon saw that they were become odious to David, the children of Ammon sent and hired the Syrians of Beth Rehob, and the Syrians of Zobah, twenty thousand footmen, and the king of Maacah with one thousand men, and the men of Tob twelve thousand men.","And when the children of Ammon saw that they were abhorred of David, the children of Ammon sent also, and hired for money a Syrian of the house of Rehob, and a Syrian for themselves, twenty thousand footmen, and of King Maacah a thousand men, and of Isthob twelve thousand men.",0.375
8,"A wychodzili i przywodzili z Egiptu cug woźników za sześć set srebrników, a konia za sto i za pięćdziesiąt. A tak wszyscy królowie Hetejscy, i królowie Syryjscy z rąk ich koni dostawali.","They brought up and brought out of Egypt a chariot for six hundred pieces of silver, and a horse for one hundred fifty: and so for all the kings of the Hittites, and the kings of Syria, they brought them out by their means.","And they went out, and brought out of Egypt a cart of charioteers for six hundred pieces of silver, and a horse for an hundred and fifty. And all the kings of the Hittites, and the kings of Syria, were delivered by their horses.",0.566
9,Utwierdzona jest stolica twoja przed wszystkiemi czasy; tyś jest od wieczności.,Your throne is established from long ago. You are from everlasting.,Thy throne is established before all times: thou art from everlasting.,0.0
10,"Nadto rzekli do niego: Cóż z tobą uczynimy, aby się morze uspokoiło? Bo się morze im dalej tem bardziej burzyło.","Then they said to him, ""What shall we do to you, that the sea may be calm to us?"" For the sea grew more and more stormy.","And they said unto him, what shall we do unto thee, that the sea may be still? Because the sea got more and more stormy.",0.386
11,"Wspomnij, Panie! na zelżywość sług twoich, a jakom ponosił wzgardę w zanadrzu swem od wszystkich narodów możnych.","With which your enemies have mocked, Yahweh, with which they have mocked the footsteps of your anointed one.","Mention, Lord! for the livelihood of thy servants, and to whom he hath borne the reproach of all the mighty nations.",0.0
12,Synów Adynowych sześć set pięćdziesiąt i pięć;,"The children of Adin, six hundred fifty-five.","The children of Adin, six hundred fifty and five;",0.608
13,"I wysłał je Mojżesz po tysiącu z każdego pokolenia na wojnę; posłał też z nimi Fineesa, syna Eleazara kapłana, na wojnę, a naczynia święte, i trąby do trąbienia były w ręku jego.","""If she has a husband, while her vows are on her, or the rash utterance of her lips, with which she has bound her soul,",And Moses sent them a thousand out of every tribe to war; and he sent with them Phinehas the son of Eleazar the priest to war: and the holy vessels and the trumpets were in his hand.,0.0
