,Sentences_from,Sentences_to,Translated_sentences,BLEU
0,"Zęby są za duże na jamnika, za małe na wyżła.","The dog's jaw, as shown in the space between these marks, is too broad in my opinion for a terrier and not broad enough for a mastiff.","The teeth are too big for the dachshund, too small for the head.",0.0
1,Zostawiłem więc sir Henryka w domu i pojechałem na zwiady.,"I left Sir Henry behind, therefore, not without some prickings of conscience, and drove off upon my new quest.",So I left Sir Henry at home and went on a scouting expedition.,0.134
2,"Jeżeli mają złe względem pana zamiary, mogą je wykonać, zanim zdołamy temu zapobiedz.","If their intentions are evil they might do you a mischief, and we should be powerless to prevent it.","If they have evil intentions towards you, they may do so before we can prevent it.",0.0
3,"Zbiegliśmy z pagórka, goniąc uciekającego co tchu Seldona.",At the same moment by a lucky chance the moon broke through the clouds.,"We ran off the hill, chasing the fleeing Seldon.",0.0
4,"-- Nie dziw, że znam pańskie stosunki ze słynnym detektywem -- rzekł pan Stapleton. -- Wszak wiadomo powszechnie, iż jesteście w przyjaźni ze sobą.","""It is useless for us to pretend that we do not know you, Dr. Watson,"" said he. ""The records of your detective have reached us here, and you could not celebrate him without being known yourself.","-""No wonder I know your relationship with the famous detective,"" said Mr. Stapleton. -- After all, it is well known that you are friends with each other.",0.0
5,"Zagasłe oczy świeciły jeszcze, zakrwawiony pysk ział ogniem.","Even now, in the stillness of death, the huge jaws seemed to be dripping with a bluish flame and the small, deep-set, cruel eyes were ringed with fire.","His eyes were still shining, his bloody mouth was on fire.",0.0
6,"Zacny starzec, zwiedziony pozorami, polubił Stapletona i za jego pośrednictwem świadczył dużo dobrego, między innymi pani Laurze Lyons.","His plans were suddenly brought to a head by his knowledge that Sir Charles was about to leave the Hall on the advice of Dr. Mortimer, with whose opinion he himself pretended to coincide. He must act at once, or his victim might get beyond his power.","The noble old man, deceived by appearances, took a liking to Stapleton, and through him did much good, including to Mrs. Laura Lyons.",0.0
7,"Wiesz, że mam sen lekki, a od chwili, gdym tu przybył w charakterze anioła-stróża, sypiam z otwartemi oczyma, jak zając.","You are aware that I am not a very sound sleeper, and since I have been on guard in this house my slumbers have been lighter than ever.","You know I have a light sleep, and ever since I came here as a guardian angel, I've been sleeping with my eyes open like a hare.",0.0
8,"Sir Henryk był bardziej rad, niż zdziwiony widokiem Holmesa; spodziewał się bowiem, że ostatnie wypadki skłonią go do przybycia.","Sir Henry was more pleased than surprised to see Sherlock Holmes, for he had for some days been expecting that recent events would bring him down from London.",Sir Henry was more pleased than surprised at the sight of Holmes; for he expected that the recent accidents would induce him to come.,0.277
9,"Niezrażeni tem, postanowiliśmy próbę ponowić. Następnej nocy zgasiliśmy lampkę, i zapaliwszy papierosy, czekaliśmy, co będzie dalej.","It was incredible how slowly the hours crawled by, and yet we were helped through it by the same sort of patient interest which the hunter must feel as he watches the trap into which he hopes the game may wander.","Undeterred, we decided to try again. The next night, we put out the lamp, lit cigarettes and waited to see what would happen next.",0.0
10,"Obiecywałem sobie, że znajdę nieznajomego i że musi mi wyznać, dlaczego tu przebywa.","We'll teach these magnates that they cannot ride roughshod over the rights of the commoners, confound them!",I promised myself that I would find a stranger and that he would have to tell me why he was here.,0.0
11,"-- Jest trzecie wejście przez altanę, na drugim końcu alei.","""There is an exit through a summer-house at the far end.""","-- There is a third entrance through the gazebo, at the other end of the avenue.",0.0
12,Sprawa powikłała się przez ucieczkę więźnia Seldona i jego porozumienie się z Barrymorami.,I was able to establish the identity of the man and the woman and knew at last exactly how I stood.,The case was complicated by the escape of prisoner Seldon and his agreement with the Barrymores.,0.0
13,"Chciałbym już, żeby nowa służba zwolniła mnie z dozoru nad pałacem.","What does it mean? It means no good to anyone of the name of Baskerville, and very glad I shall be to be quit of it all on the day that Sir Henry's new servants are ready to take over the Hall.""",I wish the new service would relieve me of the oversight of the palace.,0.0
14,"-- Czy pan sądzi, że kobieta może bezkarnie odwiedzać mężczyznę bezżennego o takiej godzinie?","""Do you think a woman could go alone at that hour to a bachelor's house?""",-- Do you think a woman can visit an unmarried man at this hour with impunity?,0.268
15,"Nie mówię teraz jako lekarz, lecz jako wykonawca testamentu sir Karola.","I speak not as a medical man but as a trustee and executor of Sir Charles's will.""","I speak now not as a physician, but as the executor of Sir Charles's will.",0.341
16,"Widywaliśmy go często, i jego śmierć była dla nas ciosem.","We knew him well, and miss him more than I can tell.","We saw him often, and his death was a blow to us.",0.0
17,"-- Zapytaj na stacyi, czy niema listu do mnie.","""And ask at the station office if there is a message for me.""",-- Ask Stacey if there's a letter for me.,0.0
18,"Gdym zobaczył po raz pierwszy blask od soczewki, nie mogłem zmiarkować, co to takiego.","I could not make it out when first I saw the light flashing upon the lens.""","When I first saw the lens flare, I couldn't measure what it was.",0.0
